N_Surface,Avg_total,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,FCC,HCP,ICOS
252,10.3743,0,0,0,12,0,120,120,0,80,180,1
302,10.0563,0,0,24,0,120,6,80,0,266,0,0
282,10116,0,0,10,2,60,60,150,0,175,105,0
300,10.0311,0,0,0,72,84,0,48,48,279,0,0
267,10.2188,0,0,0,22,60,70,100,15,200,110,0
272,10198,0,0,0,24,72,24,152,0,314,0,0
294,10.0135,0,6,24,72,0,48,72,48,298,0,0
324,10.0299,0,0,24,24,132,0,24,24,279,0,0
272,10.2777,0,0,0,12,0,135,125,0,110,140,0
282,10231,0,0,0,22,70,45,120,25,210,105,0
330,10.0296,0,5,0,2,45,120,150,0,273,0,0
322,10.0755,0,0,30,0,156,0,24,24,150,100,0
332,9.9771,8,0,24,24,132,0,0,48,279,0,0
342,9974,0,0,48,0,144,6,0,24,274,0,0
338,9.9773,8,0,30,0,156,0,0,48,273,0,0
297,10276,0,0,0,22,60,50,150,15,230,110,0
307,10.2477,0,0,0,22,70,30,160,25,225,105,0
320,10.2289,0,0,48,24,48,54,72,24,344,0,0
342,10.0843,0,0,0,24,72,0,224,0,322,0,0
338,10.0511,8,0,30,48,48,48,48,48,321,0,0
326,10.2269,0,0,6,0,96,0,224,0,338,0,0
317,10.2785,0,0,0,22,60,40,180,15,240,110,0
394,9.8824,4,0,0,78,0,0,312,0,286,0,0
336,10.0293,0,0,24,120,0,48,48,24,346,0,0
338,10.0498,0,0,24,120,0,30,80,0,345,0,0
297,10.4519,0,0,0,12,20,110,130,25,115,150,0
342,10.0116,0,6,24,120,0,24,72,24,346,0,0
312,10.2993,0,0,0,22,60,70,150,10,250,125,0
317,10307,0,0,0,12,0,155,150,0,200,125,0
303,10.3488,0,1,0,12,2,143,144,1,105,174,0
366,10.1448,0,0,30,0,120,0,144,24,346,0,0
358,10.0634,8,0,18,48,48,48,96,48,364,0,0
338,10.1793,1,0,36,105,12,24,72,36,381,0,0
336,10.2247,0,0,0,72,72,72,48,0,394,0,0
342,10.2065,0,0,0,72,96,6,72,72,394,0,0
342,10.3127,0,0,0,22,80,30,180,30,270,120,0
342,10.3195,0,0,0,22,60,50,200,10,270,125,0
348,10.2811,0,0,0,48,96,24,120,0,399,0,0
360,10.1538,0,0,24,72,72,72,0,24,394,0,0
332,10.3786,0,0,0,22,70,60,160,20,295,130,0
378,10.2548,0,0,24,0,144,6,120,0,399,0,0
357,10.3179,0,0,0,22,60,60,210,5,280,135,0
362,10.3013,0,0,10,2,70,70,210,0,280,140,0
348,10.3792,0,0,0,24,84,24,216,0,459,0,0
357,10.3946,0,0,0,22,70,45,200,20,315,130,0
336,10.3438,0,0,0,24,96,96,120,0,490,0,0
404,10.2152,0,0,24,48,144,24,8,24,423,0,0
372,10.3851,0,0,0,22,70,40,220,20,320,130,0
408,10.2404,0,0,24,72,48,48,96,48,424,0,0
384,10.2404,0,0,24,24,168,0,48,24,448,0,0
407,10.2371,0,5,0,2,60,130,210,0,250,135,0
414,10.2387,0,0,30,0,192,0,48,24,418,0,0
